"","Year","county","Dem","Rep","Total_Votes","Dem_Percent_Vote","Rep_Percent_Vote"
"170",2008,"LANCASTER","99586","126568","228137",43.6518407798823,55.4789446692119
"171",2008,"LAWRENCE","15318","18748","34509",44.3884204120664,54.3278565012026
"172",2008,"LEBANON","23310","34314","58297",39.9849048836132,58.8606617836252
"173",2008,"LEHIGH","87089","63382","152473",57.1176536173618,41.5693270283919
"174",2008,"LUZERNE","72492","61127","135175",53.6282596633993,45.2206399112262
"175",2008,"LYCOMING","18381","30280","49237",37.3316814590653,61.4984666003209
"176",2008,"McKEAN","6465","9224","15947",40.5405405405405,57.8416003009971
"177",2008,"MERCER","26411","26565","53821",49.0719235985953,49.3580572638933
"178",2008,"MIFFLIN","5375","10929","16502",32.5718094776391,66.2283359592777
"179",2008,"MONROE","39453","28293","68443",57.6435866341335,41.3380477185395
"180",2008,"MONTGOMERY","253553","165962","422988",59.9433080843901,39.2356284339036
"181",2008,"MONTOUR","3347","4555","7987",41.905596594466,57.0301740328033
"182",2008,"NORTHAMPTON","75255","58551","135588",55.5026993539251,43.1830250464643
"183",2008,"NORTHUMBERLAND","14328","19015","33935",42.2218947988802,56.0335936348902
"184",2008,"PERRY","6396","13058","19745",32.3930108888326,66.1331982780451
"185",2008,"PHILADELPHIA","594217","117160","715503",83.0488481529777,16.374494586326
"186",2008,"PIKE","11493","12519","24285",47.325509573811,51.550339715874
"187",2008,"POTTER","2300","5109","7507",30.6380711336086,68.0564806180898
"188",2008,"SCHUYLKILL","22157","27937","50895",43.5347283623146,54.8914431673052
"189",2008,"SNYDER","5382","9900","15479",34.7696879643388,63.9576200012921
"190",2008,"SOMERSET","12878","21686","35168",36.618516833485,61.6640127388535
"191",2008,"SULLIVAN","1233","1841","3120",39.5192307692308,59.0064102564103
"192",2008,"SUSQUEHANNA","8381","10633","19286",43.4563932386187,55.1332572850772
"193",2008,"TIOGA","6390","11326","17984",35.5315836298932,62.9782028469751
"194",2008,"UNION","7333","9859","17400",42.1436781609195,56.6609195402299
"195",2008,"VENANGO","9238","13718","23307",39.6361608100571,58.8578538636461
"196",2008,"WARREN","8537","9685","18517",46.1035804936005,52.3032888696873
"197",2008,"WASHINGTON","46070","50641","97883",47.0663955947407,51.7362565511887
"198",2008,"WAYNE","9369","12231","21831",42.9160368283633,56.0258348220421
"199",2008,"WESTMORELAND","72721","102294","176873",41.1148111922114,57.834717565711
"200",2008,"WYOMING","5985","6949","13104",45.6730769230769,53.0296092796093
"201",2008,"YORK","82839","109268","194210",42.6543432367025,56.2628083002935
"202",2012,"ADAMS","15091","26767","43621",34.5957222438734,61.3626464317645
"203",2012,"ALLEGHENY","352687","262039","634608",55.5755679096387,41.2914744220054
"204",2012,"ARMSTRONG","9045","20142","30326",29.8258919738838,66.4182549627382
"205",2012,"BEAVER","37055","42344","81749",45.3277715935363,51.7975755055108
"206",2012,"BEDFORD","4788","16702","21700",22.0645161290323,76.9677419354839
"207",2012,"BERKS","83011","84702","171065",48.5259988893111,49.5145120275918
"208",2012,"BLAIR","16276","33319","50715",32.0930691117027,65.6985112885734
"209",2012,"BRADFORD","8624","14410","23842",36.1714621256606,60.4395604395604
"210",2012,"BUCKS","160521","156579","321488",49.9306350470313,48.7044617528492
"211",2012,"BUTLER","28550","59761","92674",30.8069145607182,64.4851846256771
"212",2012,"CAMBRIA","24249","35163","60531",40.060464885761,58.0908955741686
"213",2012,"CAMERON","724","1359","2162",33.4875115633672,62.8584643848289
"214",2012,"CARBON","11580","13504","25769",44.937715860142,52.4040513795646
"215",2012,"CENTRE","34176","34001","70537",48.4511674723904,48.2030707288373
"216",2012,"CHESTER","124311","124840","254092",48.9236182170238,49.1318105253215
"217",2012,"CLARION","5056","10828","16187",31.2349416198184,66.8931858899116
"218",2012,"CLEARFIELD","11121","20347","32599",34.1145433909016,62.4160250314427
"219",2012,"CLINTON","5734","7303","13491",42.5024090134164,54.1323845526647
"220",2012,"COLUMBIA","10937","14236","26206",41.7347172403266,54.3234373807525
"221",2012,"CRAWFORD","13883","20901","35515",39.0905251302267,58.851189638181
"222",2012,"CUMBERLAND","44367","64809","114292",38.8189899555524,56.7047562384069
"223",2012,"DAUPHIN","64965","57450","124205",52.304657622479,46.2541765629403
"224",2012,"DELAWARE","171792","110853","286375",59.9884766477521,38.7090353557399
"225",2012,"ELK","5463","7579","13629",40.0836451683909,55.6093623890234
"226",2012,"ERIE","68036","49025","120367",56.5237980509608,40.7296019673166
"227",2012,"FAYETTE","21971","26018","49054",44.7894157459127,53.0395074815509
"228",2012,"FOREST","896","1383","2380",37.6470588235294,58.109243697479
"229",2012,"FRANKLIN","18995","43260","63914",29.7196232437338,67.6847013173953
"230",2012,"FULTON","1310","4814","6274",20.8798214854957,76.7293592604399
"231",2012,"GREENE","5852","8428","14466",40.4534771187612,58.2607493432877
"232",2012,"HUNTINGDON","5409","11979","18018",30.01998001998,66.4835164835165
"233",2012,"INDIANA","14473","21257","37591",38.5012369982177,56.5481099199276
"234",2012,"JEFFERSON","4787","13048","18148",26.3775622658144,71.8977297773859
"235",2012,"JUNIATA","2547","6862","9921",25.6728152403992,69.1664146759399
"236",2012,"LACKAWANNA","61838","35085","98212",62.9637926119008,35.7237404797784
"237",2012,"LANCASTER","88481","130669","225412",39.2530122619914,57.9689634979504
"238",2012,"LAWRENCE","17513","21047","39458",44.3839018703432,53.340260530184
"239",2012,"LEBANON","19900","35872","57687",34.4965070119784,62.1838542479241
"240",2012,"LEHIGH","78283","66874","147224",53.172716404934,45.4233005488236
"241",2012,"LUZERNE","64307","58325","124439",51.6775287490256,46.8703541494226
"242",2012,"LYCOMING","15203","30658","47160",32.2370653095844,65.008481764207
"243",2012,"McKEAN","5297","9545","15302",34.6163900143772,62.3774669977781
"244",2012,"MERCER","24232","25925","51550",47.0067895247333,50.2909796314258
"245",2012,"MIFFLIN","4273","11939","16527",25.8546620681309,72.2393658861257
"246",2012,"MONROE","35221","26867","63059",55.8540414532422,42.6061307664251
"247",2012,"MONTGOMERY","233356","174381","412562",56.5626499774579,42.2678288354235
"248",2012,"MONTOUR","3053","4652","8089",37.7426134256398,57.5101990357275
"249",2012,"NORTHAMPTON","67606","61446","130930",51.6352249293516,46.930420835561
"250",2012,"NORTHUMBERLAND","13072","19518","33835",38.6345500221664,57.685828284321
"251",2012,"PERRY","5685","13120","19175",29.6479791395046,68.4224250325945
"252",2012,"PHILADELPHIA","588806","96467","690724",85.244757674556,13.9660703841187
"253",2012,"PIKE","10210","12786","23323",43.7765296059684,54.8214209149766
"254",2012,"POTTER","1897","5231","7249",26.169126776107,72.1616774727549
"255",2012,"SCHUYLKILL","24546","32278","59137",41.507009148249,54.5817339398346
"256",2012,"SNYDER","4687","10073","15045",31.1532070455301,66.9524759056165
"257",2012,"SOMERSET","9436","23984","34703",27.1907327896724,69.1121805031265
"258",2012,"SULLIVAN","1034","1868","2998",34.4896597731821,62.3082054703135
"259",2012,"SUSQUEHANNA","6935","10800","18284",37.9293371253555,59.0680376285277
"260",2012,"TIOGA","5357","11342","17136",31.2616713352007,66.188141923436
"261",2012,"UNION","6109","9896","16464",37.1051992225462,60.1068999028183
"262",2012,"VENANGO","7945","13815","22980",34.5735422106179,60.1174934725849
"263",2012,"WARREN","6995","10010","18166",38.5060002201916,55.102939557415
"264",2012,"WASHINGTON","40345","53230","94763",42.5746335595116,56.1717125882465
"265",2012,"WAYNE","8396","12896","21937",38.2732369968546,58.786525049004
"266",2012,"WESTMORELAND","63722","103932","170528",37.3674704447363,60.9471758303622
"267",2012,"WYOMING","5061","6587","12004",42.1609463512163,54.8733755414862
"268",2012,"YORK","73191","113304","192414",38.0382924319436,58.8855280800773
"269",2016,"ADAMS","14219","31423","47489",29.941670702689,66.1690075596454
"270",2016,"ALLEGHENY","367617","259480","650114",56.5465441445654,39.9129998738683
"271",2016,"ARMSTRONG","7178","23484","31618",22.7022582073502,74.2741476374217
"272",2016,"BEAVER","32531","48167","83571",38.9261825274318,57.6360220650704
"273",2016,"BEDFORD","3645","19552","23637",15.4207386724204,82.7177729830351
"274",2016,"BERKS","78437","96626","183065",42.8465299210663,52.7823450686914
"275",2016,"BLAIR","13958","39135","54909",25.420240761988,71.272468994154
"276",2016,"BRADFORD","6369","18141","25708",24.774389295161,70.5655826979929
"277",2016,"BUCKS","167060","164361","344297",48.5220608950993,47.7381446832241
"278",2016,"BUTLER","28584","64428","97071",29.4464876224619,66.3720369626356
"279",2016,"CAMBRIA","18867","42258","63072",29.9134322678843,66.9996194824962
"280",2016,"CAMERON","531","1589","2186",24.2909423604758,72.6898444647758
"281",2016,"CARBON","8936","18743","28776",31.053655824298,65.1341395607451
"282",2016,"CENTRE","37088","35274","76148",48.705153122866,46.3229500446499
"283",2016,"CHESTER","141682","116114","268800",52.7090773809524,43.1971726190476
"284",2016,"CLARION","4273","12576","17535",24.3684060450528,71.7194183062446
"285",2016,"CLEARFIELD","8200","24932","34271",23.9269353097371,72.7495550173616
"286",2016,"CLINTON","4744","10022","15394",30.8172015070807,65.1032869949331
"287",2016,"COLUMBIA","8934","18004","28228",31.649426101743,63.780643332861
"288",2016,"CRAWFORD","10971","24987","37492",29.2622426117572,66.6462178598101
"289",2016,"CUMBERLAND","47085","69076","121617",38.7158045339056,56.797980545483
"290",2016,"DAUPHIN","64706","60863","130872",49.4422030686472,46.5057460724983
"291",2016,"DELAWARE","177402","110667","297634",59.6040774911468,37.1822439640632
"292",2016,"ELK","3853","10025","14426",26.7087203660058,69.4925828365451
"293",2016,"ERIE","58112","60069","123679",46.9861496292823,48.5684716079528
"294",2016,"FAYETTE","17946","34590","53767",33.3773504194022,64.3331411460561
"295",2016,"FOREST","626","1683","2401",26.0724698042482,70.0957934194086
"296",2016,"FRANKLIN","17465","49768","69731",25.0462491574766,71.3714130013911
"297",2016,"FULTON","912","5694","6771",13.4692069118299,84.0939299955693
"298",2016,"GREENE","4482","10849","15764",28.4318700837351,68.8213651357523
